,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Muli,MV,2.9167,73.5667,81.59,78,100,16.75,moderate rain
302,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,70.54,90,28,2.59,scattered clouds
303,Skjervoy,NO,70.0311,20.9714,33.53,85,100,21.27,overcast clouds
304,San Carlos De Bariloche,AR,-41.1456,-71.3082,68.0,45,0,2.3,clear sky
305,Kokubu,JP,31.7333,130.7667,51.8,66,40,11.5,scattered clouds
306,Port Hardy,CA,50.6996,-127.4199,41.0,100,90,3.44,light rain
307,Chumikan,RU,54.7183,135.315,-19.88,77,0,27.96,clear sky
308,Buncrana,IE,55.1333,-7.45,42.85,90,100,14.94,overcast clouds
309,Banjarmasin,ID,-3.3244,114.591,80.6,83,40,6.91,scattered clouds
310,Manono,CD,-7.3,27.4167,68.18,96,18,2.48,few clouds
311,Broken Hill,AU,-31.95,141.4333,87.8,18,100,13.8,overcast clouds
312,Peru,US,40.7537,-86.0689,19.99,100,1,4.61,clear sky
313,Waikuku,NZ,-43.3,172.6833,63.0,51,75,16.11,broken clouds
314,Mayo,US,38.8876,-76.5119,39.2,52,20,9.22,few clouds
315,Novomichurinsk,RU,54.0384,39.7479,33.01,85,100,11.36,snow
316,Mambajao,PH,9.2504,124.7156,81.01,75,22,10.22,few clouds
317,Ambilobe,MG,-13.2,49.05,74.52,90,91,2.08,overcast clouds
318,Yar-Sale,RU,66.8333,70.8333,-6.05,91,98,10.71,overcast clouds
319,Blackwater,AU,-23.5833,148.8833,86.77,47,59,11.83,broken clouds
320,Ishimbay,RU,53.4545,56.0415,28.4,99,100,4.09,light snow
321,Tula,RU,54.2044,37.6111,28.6,98,94,8.86,overcast clouds
322,Estevan,CA,49.1334,-102.9842,1.4,71,1,24.16,clear sky
323,Tottori,JP,35.5,134.2333,48.2,61,40,18.41,scattered clouds
324,Goryachegorsk,RU,55.4053,88.9154,15.75,94,100,10.22,overcast clouds
325,Laguna,US,38.421,-121.4238,53.6,66,90,3.44,overcast clouds
326,Storforshei,NO,66.4043,14.5233,6.01,75,35,5.01,scattered clouds
327,Chuy,UY,-33.6971,-53.4616,67.78,93,100,18.57,overcast clouds
328,Coquimbo,CL,-29.9533,-71.3436,59.0,88,20,6.91,few clouds
329,Roma,US,43.2128,-75.4557,27.0,74,90,8.32,overcast clouds
330,Kamenka,RU,51.3223,42.7678,36.0,97,100,8.32,light rain
331,Nouadhibou,MR,20.931,-17.0347,63.95,90,100,16.91,overcast clouds
332,Kasongo-Lunda,CD,-6.4667,16.8167,69.67,92,99,1.68,overcast clouds
333,Mar Del Plata,AR,-38.0023,-57.5575,66.2,82,40,12.66,scattered clouds
334,Ixtapa,MX,20.7,-105.2,71.01,94,1,0.4,clear sky
335,Mount Isa,AU,-20.7333,139.5,95.0,38,40,13.8,scattered clouds
336,Hithadhoo,MV,-0.6,73.0833,82.71,73,90,8.9,overcast clouds
337,Matara,LK,5.9485,80.5353,75.76,80,66,7.36,light rain
338,Mwinilunga,ZM,-11.7358,24.4293,61.25,91,99,1.57,overcast clouds
339,Znamenskoye,RU,57.1281,73.8282,2.68,94,87,6.11,overcast clouds
340,Waddan,LY,29.1614,16.139,48.99,78,0,1.83,clear sky
341,Aripuana,BR,-9.1667,-60.6333,75.04,96,98,1.79,overcast clouds
342,Ajaccio,FR,42.0,8.9167,46.4,93,0,5.75,clear sky
343,Middelburg,ZA,-25.7751,29.4648,58.84,91,1,4.99,clear sky
344,Maiduguri,NG,11.8464,13.1603,66.0,32,50,7.94,scattered clouds
345,Denia,ES,38.8408,0.1057,57.99,75,100,3.0,overcast clouds
346,Porbandar,IN,21.6422,69.6093,62.6,94,40,9.22,haze
347,Vacaville,US,38.3566,-121.9877,51.8,76,40,6.91,scattered clouds
348,Coihaique,CL,-45.5752,-72.0662,68.0,64,0,5.75,clear sky
